Block,ExperimentName,ExperimentNumber,AEZ,Treatment,topChoice,yieldAre,profit,cobSize,germinationRate
1,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,1,65.4171336,11325.12397,355.2631579,65
1,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,0,51.657136,8806.228592,392.1568627,63
1,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,1,49.6,8426.722555,206.185567,64
1,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,0,68.4000072,11865.41447,375,64
1,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,1,32.6857128,5378.498164,317.0731707,65
2,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,1,51.657136,8789.64448,294.1176471,64
2,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,0,49.6,8405.08,256.4102564,75
2,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,1,97.714296,17121.59328,326.0869565,78
2,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,1,60.3428544,10338.79379,342.8571429,76
2,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,0,41.1885656,6945.321808,204.8192771,70
3,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,0,47.12,7959.66,372.5490196,76
3,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,1,84.6857232,14780.05018,309.5238095,75
3,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,1,50.285712,8530.20816,425.5319149,75
3,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,0,29.0742816,4760.300688,230.7692308,77
3,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,1,51.657136,8785.52448,392.1568627,74
4,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,1,61.8857208,10688.23214,372.5490196,66
4,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,0,19.3828544,3037.516586,153.8461538,62
4,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,0,37.714284,6280.108046,254.2372881,65
4,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,1,72.3199904,12519.79388,301.0752688,64
4,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,1,52.08,8868.092615,466.6666667,67
5,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,0,52.7999976,8939.859568,388.8888889,79
5,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,0,38.7657088,6462.947584,432.4324324,81
5,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,1,80.0685608,13857.44094,407.8947368,78
5,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,1,52.08,8819.62,466.6666667,50
5,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,1,78.1714368,13563.37862,285.7142857,81
6,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,0,36.342852,6075.944897,258.6206897,79
6,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,1,51.657136,8788.26452,327.8688525,80
6,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,0,47.12,7966.66986,283.5820896,78
6,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,1,78.1714368,13612.47539,222.2222222,79
6,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,0,40.2285696,6724.0567,258.0645161,80
7,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,1,51.657136,8812.575897,363.6363636,64
7,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,1,54.56,9319.582435,407.4074074,70
7,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,1,81.42858,14222.2941,297.6190476,63
7,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,1,65.3714256,11274.2618,282.6086957,64
7,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,1,48.457136,8283.432185,312.5,61
8,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,1,74.4,12878.56687,434.7826087,86
8,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,0,91.2000096,15961.03167,311.1111111,83
8,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,0,70.3999968,12159.28485,301.0752688,85
8,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,0,58.1485632,10002.73938,363.6363636,86
8,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,1,95.5657016,16722.22549,451.2195122,85
9,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,1,65.142864,11260.14666,294.1176471,80
9,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,0,40.2285696,6726.272269,347.826087,78
9,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,0,29.0742816,4778.92957,260.8695652,79
9,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,1,51.657136,8812.735578,259.7402597,78
9,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,1,49.6,8411.692615,303.030303,79
10,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,1,47.7714264,8099.716752,279.4117647,72
10,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,0,38.7657088,6505.607584,271.1864407,71
10,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,1,69.7371336,12036.84405,325.3012048,72
10,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,0,42.16,7063,288.1355932,74
10,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,1,94.4571528,16523.8475,315.2173913,70
11,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,0,12.114284,1743.30112,147.0588235,48
11,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,1,18.0799976,2777.379568,162.7906977,46
11,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,0,12.4,1745.92,151.5151515,60
11,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,1,29.3142888,4847.091984,173.0769231,40
11,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,0,15.0857136,2228.628448,187.5,45
12,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,1,90.399988,15784.13357,15.63896336,54
12,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,1,71.92,12453.72375,420.2898551,52
12,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,1,87.9428664,15390.73392,300,54
12,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,1,62.85714,10820.25326,268.8172043,54
12,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,0,58.1485632,10024.29627,363.6363636,53
13,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,1,54.56,9287.36,379.3103448,70
13,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,1,78.1714368,13592.05862,358.2089552,75
13,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,0,45.2571408,7612.125344,290.3225806,72
13,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,0,38.7657088,6493.587584,307.6923077,72
13,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,1,59.4057064,10167.98715,403.5087719,70
14,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,1,91.2000096,15964.86173,304.3478261,57
14,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,1,62.85714,10809.3652,342.4657534,59
14,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,0,41.1885656,6957.561808,288.1355932,60
14,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,1,67.1542768,11586.32982,313.253012,62
14,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,0,47.12,7973.08,333.3333333,63
15,Maize variety (low-mid altitude varieties),13,Eastern Savanah,SC529,1,60.3428544,10338.60963,358.2089552,71
15,Maize variety (low-mid altitude varieties),13,Eastern Savanah,ZM607,1,48.457136,8250.617813,400,70
15,Maize variety (low-mid altitude varieties),13,Eastern Savanah,WH505,0,51.657136,8794.805313,392.1568627,65
15,Maize variety (low-mid altitude varieties),13,Eastern Savanah,RHM104,1,52.08,8857.295833,375,68
15,Maize variety (low-mid altitude varieties),13,Eastern Savanah,PAN4M21,1,84.6857232,14771.36768,298.8505747,67
1,Maize variety (low-mid altitude varieties),6,Eastern Ridges,ZM607,0,25.76,3227.28,325.5813953,92
1,Maize variety (low-mid altitude varieties),6,Eastern Ridges,WH505,1,40.824,5332.792,283.7837838,96
1,Maize variety (low-mid altitude varieties),6,Eastern Ridges,RHM104,0,38.304,4956.245333,292.3076923,95
1,Maize variety (low-mid altitude varieties),6,Eastern Ridges,PAN4M21,1,48.384,6437.312,253.0120482,93
1,Maize variety (low-mid altitude varieties),6,Eastern Ridges,SC529,0,17.208,1946.157333,230.7692308,88
2,Maize variety (low-mid altitude varieties),6,Eastern Ridges,WH505,1,34.992,4564.724687,339.6226415,89
2,Maize variety (low-mid altitude varieties),6,Eastern Ridges,RHM104,0,24.192,3021.314586,272.7272727,90
2,Maize variety (low-mid altitude varieties),6,Eastern Ridges,PAN4M21,1,36.864,4866.279273,246.1538462,86
2,Maize variety (low-mid altitude varieties),6,Eastern Ridges,SC529,0,28.68,3660.472323,288.4615385,91
2,Maize variety (low-mid altitude varieties),6,Eastern Ridges,ZM607,0,29.44,3807.909899,307.6923077,81
3,Maize variety (low-mid altitude varieties),6,Eastern Ridges,RHM104,1,40.32,5262.275152,350.877193,65
3,Maize variety (low-mid altitude varieties),6,Eastern Ridges,PAN4M21,1,57.6,7722.8,352.1126761,90
3,Maize variety (low-mid altitude varieties),6,Eastern Ridges,SC529,1,40.152,5198.887515,355.9322034,92
3,Maize variety (low-mid altitude varieties),6,Eastern Ridges,ZM607,0,18.4,2129.806061,294.1176471,88
3,Maize variety (low-mid altitude varieties),6,Eastern Ridges,WH505,1,58.32,7832.154822,370.3703704,91
4,Maize variety (low-mid altitude varieties),6,Eastern Ridges,PAN4M21,1,76.032,10447.29339,314.2857143,96
4,Maize variety (low-mid altitude varieties),6,Eastern Ridges,SC529,1,57.36,7745.827826,329.6703297,93
4,Maize variety (low-mid altitude varieties),6,Eastern Ridges,ZM607,1,47.84,6453.239565,305.8823529,96
4,Maize variety (low-mid altitude varieties),6,Eastern Ridges,WH505,1,54.432,7326.710783,304.3478261,95
4,Maize variety (low-mid altitude varieties),6,Eastern Ridges,RHM104,0,30.24,3883.472174,283.0188679,82
5,Maize variety (low-mid altitude varieties),6,Eastern Ridges,SC529,1,34.416,4472.029667,333.3333333,84
5,Maize variety (low-mid altitude varieties),6,Eastern Ridges,ZM607,0,22.08,2742.929583,342.8571429,88
5,Maize variety (low-mid altitude varieties),6,Eastern Ridges,WH505,1,38.88,5113.381667,298.5074627,89
5,Maize variety (low-mid altitude varieties),6,Eastern Ridges,RHM104,0,16.128,1886.2415,380.952381,20
5,Maize variety (low-mid altitude varieties),6,Eastern Ridges,PAN4M21,1,36.864,4855.6145,320,82
6,Maize variety (low-mid altitude varieties),6,Eastern Ridges,ZM607,0,23.92,2990.932807,302.3255814,89
6,Maize variety (low-mid altitude varieties),6,Eastern Ridges,WH505,1,44.712,5934.737053,489.3617021,91
6,Maize variety (low-mid altitude varieties),6,Eastern Ridges,RHM104,0,52.416,7030.071333,361.1111111,90
6,Maize variety (low-mid altitude varieties),6,Eastern Ridges,PAN4M21,1,64.512,8783.571263,250,90
6,Maize variety (low-mid altitude varieties),6,Eastern Ridges,SC529,1,49.712,6636.732667,262.6262626,92
7,Maize variety (low-mid altitude varieties),6,Eastern Ridges,WH505,1,50.544,6816.112,320.9876543,88
7,Maize variety (low-mid altitude varieties),6,Eastern Ridges,RHM104,0,38.304,5083.252,333.3333333,44
7,Maize variety (low-mid altitude varieties),6,Eastern Ridges,PAN4M21,1,50.688,6858.444,289.4736842,88
7,Maize variety (low-mid altitude varieties),6,Eastern Ridges,SC529,1,42.064,5595.612,271.6049383,86
7,Maize variety (low-mid altitude varieties),6,Eastern Ridges,ZM607,0,27.6,3550.53,283.0188679,90
8,Maize variety (low-mid altitude varieties),6,Eastern Ridges,RHM104,1,66.528,9036.178897,261.9047619,72
8,Maize variety (low-mid altitude varieties),6,Eastern Ridges,PAN4M21,1,78.336,10757.85047,263.5658915,86
8,Maize variety (low-mid altitude varieties),6,Eastern Ridges,SC529,0,59.272,8011.90423,369.047619,92
8,Maize variety (low-mid altitude varieties),6,Eastern Ridges,ZM607,0,38.64,5089.583786,276.3157895,90
8,Maize variety (low-mid altitude varieties),6,Eastern Ridges,WH505,1,77.76,10648.48658,454.5454545,89
9,Maize variety (low-mid altitude varieties),6,Eastern Ridges,SC529,1,42.064,5556.374222,271.6049383,86
9,Maize variety (low-mid altitude varieties),6,Eastern Ridges,ZM607,1,36.8,4842.288889,285.7142857,86
9,Maize variety (low-mid altitude varieties),6,Eastern Ridges,WH505,0,36.936,4824.092444,311.4754098,88
9,Maize variety (low-mid altitude varieties),6,Eastern Ridges,RHM104,0,30.24,3866.342222,283.0188679,75
9,Maize variety (low-mid altitude varieties),6,Eastern Ridges,PAN4M21,1,64.512,8797.282667,254.5454545,70
1,Maize variety,20,Buberuka highlands,Pool9A,NA,0,-623.422524,NA,72
1,Maize variety,20,Buberuka highlands,H629,NA,0,-591.7332268,NA,83
1,Maize variety,20,Buberuka highlands,ZM607,NA,0,-543.9097444,NA,68
2,Maize variety,20,Buberuka highlands,H629,NA,0,-582.3736404,NA,76
2,Maize variety,20,Buberuka highlands,ZM607,NA,0,-577.6651472,NA,84
2,Maize variety,20,Buberuka highlands,Pool9A,NA,0,-601.4475368,NA,87
3,Maize variety,20,Buberuka highlands,ZM607,0,37.296,13608.95908,174.7572816,78
3,Maize variety,20,Buberuka highlands,Pool9A,1,49.6228512,18254.84947,250,87
3,Maize variety,20,Buberuka highlands,H629,1,0,-592.8579568,235.2941176,82
4,Maize variety,20,Buberuka highlands,Pool9A,0,22.9028544,8075.067086,136.3636364,87
4,Maize variety,20,Buberuka highlands,H629,0,0,-594.0047962,206.8965517,79
4,Maize variety,20,Buberuka highlands,ZM607,NA,0,-592.7557954,NA,85
5,Maize variety,20,Buberuka highlands,H629,1,53.76,19823.0446,340.4255319,75
5,Maize variety,20,Buberuka highlands,ZM607,0,35.224,12789.41656,217.9487179,86
5,Maize variety,20,Buberuka highlands,Pool9A,0,38.171424,13865.95247,227.2727273,81
6,Maize variety,20,Buberuka highlands,ZM607,0,43.512,15981.46261,177.9661017,71
6,Maize variety,20,Buberuka highlands,Pool9A,0,45.8057088,16801.82019,255.3191489,87
6,Maize variety,20,Buberuka highlands,H629,1,48.72,17934.07233,290,69
7,Maize variety,20,Buberuka highlands,Pool9A,0,32.4457104,11729.13773,184.7826087,85
7,Maize variety,20,Buberuka highlands,H629,1,48.72,17910.72974,298.9690722,72
7,Maize variety,20,Buberuka highlands,ZM607,0,55.944,20698.02828,259.6153846,78
8,Maize variety,20,Buberuka highlands,H629,1,52.08,19206.87531,274.3362832,70
8,Maize variety,20,Buberuka highlands,ZM607,0,53.872,19902.11466,288.8888889,88
8,Maize variety,20,Buberuka highlands,Pool9A,0,38.171424,13902.33082,246.9135802,66
9,Maize variety,20,Buberuka highlands,ZM607,0,29.008,10461.52842,208.9552239,72
9,Maize variety,20,Buberuka highlands,Pool9A,0,41.9885664,15353.97792,236.5591398,87
9,Maize variety,20,Buberuka highlands,H629,1,52.08,19209.92875,442.8571429,69
10,Maize variety,20,Buberuka highlands,Pool9A,0,34.3542816,12450.29394,216.8674699,82
10,Maize variety,20,Buberuka highlands,H629,1,48.72,17943.39233,218.0451128,71
10,Maize variety,20,Buberuka highlands,ZM607,0,29.008,10474.288,254.5454545,83
11,Maize variety,20,Buberuka highlands,H629,1,45.36,16680.93396,281.25,67
11,Maize variety,20,Buberuka highlands,ZM607,0,31.08,11274.71066,166.6666667,84
11,Maize variety,20,Buberuka highlands,Pool9A,0,36.2628528,13207.49861,200,87
12,Maize variety,20,Buberuka highlands,ZM607,0,31.08,11251.05771,176.4705882,76
12,Maize variety,20,Buberuka highlands,Pool9A,1,38.171424,13864.39453,229.8850575,81
12,Maize variety,20,Buberuka highlands,H629,0,50.4,18544.25755,285.7142857,67
13,Maize variety,20,Buberuka highlands,Pool9A,1,43.8971376,16076.7727,225.4901961,86
13,Maize variety,20,Buberuka highlands,H629,1,38.64,14109.29739,255.5555556,79
13,Maize variety,20,Buberuka highlands,ZM607,0,29.008,10452.11709,168.6746988,81
14,Maize variety,20,Buberuka highlands,H629,1,21.84,7710.66402,260,83
14,Maize variety,20,Buberuka highlands,ZM607,0,24.864,8885.764169,160,81
14,Maize variety,20,Buberuka highlands,Pool9A,0,26.7199968,9541.985881,208.9552239,84
15,Maize variety,20,Buberuka highlands,ZM607,0,26.936,9650.96536,180.5555556,82
15,Maize variety,20,Buberuka highlands,Pool9A,0,24.8114256,8788.713936,188.4057971,86
15,Maize variety,20,Buberuka highlands,H629,1,23.52,8316.359305,245.6140351,73
1,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,36.8254656,5480.784392,279.0697674,94
1,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,1,58.906176,9077.58488,376.146789,96
1,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,1,43.8081584,6579.177104,329.787234,97
1,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,1,48.381568,7382.400712,271.1864407,98
1,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,0,21.963584,2973.926132,205.1282051,98
2,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,1,24.424512,3393.297417,220.7792208,90
2,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,0,22.6106624,3086.836668,188.2352941,89
2,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,1,31.750404,4634.643568,187.5,94
2,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,1,27.45448,3893.191119,212.7659574,91
2,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,23.015916,3193.821473,205.4794521,88
3,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,1,28.263328,3996.843761,285.7142857,88
3,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,1,34.774252,5110.020781,203.539823,91
3,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,0,20.59086,2725.193871,211.2676056,89
3,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,18.4127328,2418.976107,203.3898305,82
3,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,0,22.987776,3134.649495,238.8059701,86
4,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,1,39.310024,5866.945465,236.3636364,96
4,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,0,21.963584,2958.787777,285.7142857,94
4,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,1,23.015916,3184.94636,238.0952381,97
4,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,0,22.987776,3160.07492,355.5555556,64
4,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,0,22.6106624,3083.299888,271.1864407,73
6,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,15.343944,1906.686214,185.1851852,98
6,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,1,18.677568,2421.901999,203.125,96
6,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,0,18.3711632,2360.926667,180.5555556,98
6,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,0,15.11924,1866.70213,136.9863014,97
6,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,0,12.354516,1372.916136,204.5454545,95
7,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,0,20.114304,2657.452942,280,93
7,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,1,25.4369952,3535.954617,250,97
7,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,1,28.726556,4110.930618,395.8333333,94
7,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,1,24.709032,3416.754367,264.7058824,96
7,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,13.8095496,1653.676525,163.6363636,95
8,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,0,19.7843296,2594.468984,177.2151899,90
8,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,0,19.655012,2610.39966,156.626506,94
8,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,0,13.72724,1594.958076,196.0784314,92
8,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,13.8095496,1651.644493,160.7142857,89
8,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,0,11.493888,1222.780203,170.212766,87
9,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,1,31.750404,4611.507064,207.9207921,92
9,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,0,19.218136,2501.630576,208.9552239,86
9,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,13.8095496,1648.355234,157.8947368,84
9,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,0,22.987776,3131.850816,228.5714286,90
9,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,1,33.9159936,4941.934938,252.6315789,93
10,Maize variety (low-mid altitude varieties),30,Central Plateau,SC529,1,32.945376,4784.036583,285.7142857,88
10,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,29.1534936,4199.07529,275.3623188,84
10,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,0,31.608192,4566.991923,297.2972973,83
10,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,0,26.8501616,3792.944133,327.5862069,88
10,Maize variety (low-mid altitude varieties),30,Central Plateau,PAN4M21,1,34.774252,5120.883204,264.3678161,85
11,Maize variety (low-mid altitude varieties),30,Central Plateau,ZM607,0,12.2751552,1409.907995,177.7777778,71
11,Maize variety (low-mid altitude varieties),30,Central Plateau,WH505,1,27.297984,3842.856735,263.8888889,94
11,Maize variety (low-mid altitude varieties),30,Central Plateau,RHM104,0,25.4369952,3552.591253,268.6567164,96
